(1001, 21, 1277, 942)
(1001, 1221, 1399, 120)
(10001, 1221, 1447, 1372)
(1001, 821, 1481, 1101)
(1001, 621, 1511, 77)
(101, 221, 1553, 1467)
(101, 621, 1609, 551)
(10001, 221, 1637, 836)
(1001, 1021, 1733, 1519)
(10001, 1021, 1787, 629)
(10001, 821, 1873, 390)
(101, 21, 1993, 1203)
(1001, 21, 2039, 1784)
(1001, 1021, 2143, 533)
(101, 621, 2207, 622)
(101, 421, 2333, 1192)
(10001, 21, 2357, 1066)
(10001, 221, 2467, 1540)
(101, 221, 2543, 1561)
(10001, 421, 2617, 2153)
(10001, 821, 2683, 2109)
(10001, 421, 2789, 1721)
(101, 1021, 2897, 416)
(101, 21, 2969, 978)
(1001, 221, 1277, 1146)
(1001, 21, 1399, 324)
(10001, 21, 1447, 129)
(1001, 1021, 1481, 1305)
(1001, 821, 1511, 281)
(101, 421, 1553, 118)
(101, 821, 1609, 755)
(10001, 421, 1637, 1040)
(10001, 221, 1697, 1270)
(10001, 621, 1759, 975)
(10001, 1021, 1873, 594)
(101, 221, 1993, 1407)
(1001, 221, 2039, 1988)
(1001, 1221, 2143, 737)
(10001, 1221, 2267, 326)
(101, 1021, 2383, 111)
(10001, 421, 2467, 1744)
(10001, 621, 2617, 2357)
(10001, 1021, 2683, 2313)
(1001, 621, 2039, 1181)
(10001, 221, 2267, 2001)
(1001, 1221, 2339, 1950)
(10001, 821, 2467, 2019)
(101, 821, 2543, 1508)
(10001, 1021, 2617, 1582)
(1001, 621, 2659, 2639)
(101, 221, 2687, 676)
(10001, 421, 2729, 1134)
(1001, 21, 2797, 1977)
(101, 221, 2897, 782)
(10001, 1221, 2939, 2585)
(1001, 821, 1277, 1016)
(1001, 621, 1399, 1284)
(10001, 621, 1447, 513)
(1001, 221, 1481, 1281)
(1001, 21, 1511, 1408)
(101, 1021, 1553, 783)
(101, 21, 1609, 804)
(10001, 1021, 1637, 781)
(1001, 421, 1733, 408)
(10001, 1221, 1759, 1133)
(10001, 221, 1873, 1485)
(101, 821, 1993, 1218)
(1001, 821, 2039, 1385)
(1001, 421, 2143, 1341)
(101, 21, 2207, 918)
(101, 1221, 2333, 480)
(1001, 1021, 2411, 949)
(10001, 1021, 2467, 2223)
(101, 1021, 2543, 1712)
(10001, 1221, 2617, 1786)
(10001, 821, 2693, 840)
(10001, 621, 2729, 1338)
(1001, 221, 2797, 2181)
(101, 421, 2897, 986)
(10001, 21, 2939, 2789)
(1001, 1021, 1277, 1220)
(10001, 821, 1447, 717)
(1001, 421, 1481, 4)
